"Protein","Module","Module_Name"
"SCN1B","turquoise","M1_turquoise"
"SCN2B","turquoise","M1_turquoise"
"SCN3B","turquoise","M1_turquoise"
"SCN4B","green","M11_green"
"SCPEP1","magenta","M8_magenta"
"SCRN1","pink","M5_pink"
"SCUBE1","tan","M3_tan"
"SCUBE2","cyan","M14_cyan"
"SDC2","grey","M17_grey"
"SDCBP","magenta","M8_magenta"
"SDK2","grey","M17_grey"
"SECTM1","blue","M2_blue"
"SEL1L","turquoise","M1_turquoise"
"SELENOF","blue","M2_blue"
"SELENOM","midnightblue","M12_midnightblue"
"SEMA3A","black","M7_black"
"SEMA3B","black","M7_black"
"SEMA3C","black","M7_black"
"SEMA3D","magenta","M8_magenta"
"SEMA3E","red","M9_red"
"SEMA3F","midnightblue","M12_midnightblue"
